"username","userPrincipalName","displayName","plan","included_credits"
"aottershaw","adelaide.ottershaw0568@contoso-health.com","Ottershaw, Adelaide C","Copilot Business","3000"
"awadsworth","adelaide.wadsworth0851@contoso-health.com","Wadsworth, Adelaide J","Copilot Enterprise","7000"
"ahaddonfield","alastair.haddonfield0567@contoso-health.com","Haddonfield, Alastair O","Copilot Business","3000"
"agalbraith","amelia.galbraith0848@contoso-health.com","Galbraith, Amelia C","Copilot Enterprise","7000"
"athorncroft","amelia.thorncroft0833@contoso-health.com","Thorncroft, Amelia W","Copilot Enterprise","7000"
"abarrowman","anastasia.barrowman0669@contoso-health.com","Barrowman, Anastasia S","Copilot Enterprise","7000"
"adinsdale","anastasia.dinsdale0536@contoso-health.com","Dinsdale, Anastasia G","Copilot Business","3000"
"agarrowby","anastasia.garrowby0755@contoso-health.com","Garrowby, Anastasia R","Copilot Enterprise","7000"
"aravensworth","anastasia.ravensworth0511@contoso-health.com","Ravensworth, Anastasia N","Copilot Enterprise","7000"
"ajephson","arthur.jephson0514@contoso-health.com","Jephson, Arthur K","Copilot Business","3000"
"apargeter","aurelia.pargeter0688@contoso-health.com","Pargeter, Aurelia S","Copilot Business","3000"
"awadsworth2","aurelia.wadsworth0653@contoso-health.com","Wadsworth, Aurelia W","Copilot Enterprise","7000"
"bashdown","barnaby.ashdown0702@contoso-health.com","Ashdown, Barnaby C","Copilot Enterprise","7000"
"bingoldsby","barnaby.ingoldsby0548@contoso-health.com","Ingoldsby, Barnaby H","Copilot Enterprise","7000"
"bmacallister","barnaby.macallister0746@contoso-health.com","Macallister, Barnaby O","Copilot Enterprise","7000"
"bquibell","barnaby.quibell0496@contoso-health.com","Quibell, Barnaby J","Copilot Business","3000"
"bhetherington","beatrice.hetherington0734@contoso-health.com","Hetherington, Beatrice M","Copilot Enterprise","7000"
"bselwyn","beatrice.selwyn0460@contoso-health.com","Selwyn, Beatrice O","Copilot Enterprise","7000"
"bwainwright","benedict.wainwright0862@contoso-health.com","Wainwright, Benedict D","Copilot Business","3000"
"bheatherington","bridget.heatherington0680@contoso-health.com","Heatherington, Bridget I","Copilot Enterprise","7000"
"bwestbrook","bridget.westbrook0486@contoso-health.com","Westbrook, Bridget J","Copilot Enterprise","7000"
"bwetherby","bridget.wetherby0859@contoso-health.com","Wetherby, Bridget R","Copilot Enterprise","7000"
"cashcombe","callista.ashcombe0584@contoso-health.com","Ashcombe, Callista K","Copilot Enterprise","7000"
"cknatchbull","callista.knatchbull0445@contoso-health.com","Knatchbull, Callista K","Copilot Enterprise","7000"
"cnaseby","callista.naseby0454@contoso-health.com","Naseby, Callista I","Copilot Enterprise","7000"
"credmayne","callista.redmayne0863@contoso-health.com","Redmayne, Callista P","Copilot Enterprise","7000"
"csomerville","callista.somerville0521@contoso-health.com","Somerville, Callista P","Copilot Enterprise","7000"
"cunderhill","callista.underhill0580@contoso-health.com","Underhill, Callista N","Copilot Enterprise","7000"
"cfitzgerald","camilla.fitzgerald0739@contoso-health.com","Fitzgerald, Camilla P","Copilot Business","3000"
"clattimore","camilla.lattimore0838@contoso-health.com","Lattimore, Camilla R","Copilot Enterprise","7000"
"cmontrose","camilla.montrose0441@contoso-health.com","Montrose, Camilla C","Copilot Enterprise","7000"
"csilverton","camilla.silverton0560@contoso-health.com","Silverton, Camilla M","Copilot Business","3000"
"cecclestone","cassian.ecclestone0452@contoso-health.com","Ecclestone, Cassian W","Copilot Enterprise","7000"
"crushworth","cassian.rushworth0632@contoso-health.com","Rushworth, Cassian C","Copilot Enterprise","7000"
"cwaverley","cassian.waverley0639@contoso-health.com","Waverley, Cassian E","Copilot Business","3000"
"cdewhurst","clementine.dewhurst0715@contoso-health.com","Dewhurst, Clementine F","Copilot Business","3000"
"cthorncroft","clementine.thorncroft0459@contoso-health.com","Thorncroft, Clementine M","Copilot Business","3000"
"ckembleford","cordelia.kembleford0590@contoso-health.com","Kembleford, Cordelia J","Copilot Enterprise","7000"
"ckettlewell","cuthbert.kettlewell0591@contoso-health.com","Kettlewell, Cuthbert J","Copilot Business","3000"
