userPrincipalName,displayName,department,jobTitle,jobFamily,city,country,costCenter,manager,businessUnit
"bexley.kettering0001@contoso-health.com","Kettering, Bexley F","Member Services","Senior Member Advisor","Service Operations","Manchester","United Kingdom","CC-1000","Trelawney, Marcus D","Health Plan Operations"
"leopold.whitworth0002@contoso-health.com","Whitworth, Leopold D","Member Services","Team Leader, Member Services","Service Operations","Belfast","United Kingdom","CC-1000","Trelawney, Marcus D","Health Plan Operations"
"cassian.overton0003@contoso-health.com","Overton, Cassian M","Member Services","Escalations Specialist","Service Operations","Cardiff","United Kingdom","CC-1000","Trelawney, Marcus D","Health Plan Operations"
"tabitha.leverton0004@contoso-health.com","Leverton, Tabitha K","Member Services","Escalations Specialist","Service Operations","Glasgow","United Kingdom","CC-1000","Trelawney, Marcus D","Health Plan Operations"
"rowena.ecclestone0005@contoso-health.com","Ecclestone, Rowena I","Member Services","Team Leader, Member Services","Service Operations","Dublin","Ireland","CC-1000","Trelawney, Marcus D","Health Plan Operations"
"torquil.holbrook0006@contoso-health.com","Holbrook, Torquil T","Member Services","Member Services Advisor","Service Operations","Glasgow","United Kingdom","CC-1000","Trelawney, Marcus D","Health Plan Operations"
"imogen.jessamine0007@contoso-health.com","Jessamine, Imogen L","Member Services","Director of Member Services","Service Operations","Cardiff","United Kingdom","CC-1000","Trelawney, Marcus D","Health Plan Operations"
"jarvis.pickersgill0008@contoso-health.com","Pickersgill, Jarvis J","Member Services","Director of Member Services","Service Operations","Leeds","United Kingdom","CC-1000","Kettering, Bexley F","Health Plan Operations"
"anastasia.eastgate0009@contoso-health.com","Eastgate, Anastasia K","Member Services","Team Leader, Member Services","Service Operations","Leeds","United Kingdom","CC-1000","Ecclestone, Rowena I","Health Plan Operations"
"theodora.wainwright0010@contoso-health.com","Wainwright, Theodora C","Member Services","Director of Member Services","Service Operations","Manchester","United Kingdom","CC-1000","Jessamine, Imogen L","Health Plan Operations"
